record_id,sale_date,day_of_week,is_weekend,branch,category,campaign,customers_count,employee_count,units_sold,avg_price_per_unit,discount_rate,sales_amount,cost_amount,gross_profit,payment_method,returned,satisfaction_score,branch_a_outlier,special_high_sales_day
R01261,2026-01-02,?????,FALSE,D,Fashion,Payday Promo,143,20,148,759.49,11.4%,"99,590.24","54,330.72","45,259.52",E-Wallet,FALSE,3.8,FALSE,FALSE
R01752,2026-01-02,?????,FALSE,D,Food & Beverage,None,182,30,195,489.85,1.2%,"94,374.37","58,915.06","35,459.31",Cash,FALSE,4.8,FALSE,FALSE
R01783,2026-01-02,?????,FALSE,E,Electronics,Member Day,83,20,28,727.55,6.0%,"19,149.04","13,806.37","5,342.67",Credit Card,FALSE,4,FALSE,FALSE
R00343,2026-01-03,?????,TRUE,A,Sports,Payday Promo,63,16,37,393.99,8.8%,"13,294.96","7,697.28","5,597.68",QR Payment,FALSE,5,TRUE,FALSE
R00424,2026-01-03,?????,TRUE,A,Food & Beverage,Payday Promo,166,30,212,435.01,10.2%,"82,814.87","53,616.49","29,198.38",E-Wallet,FALSE,4.1,FALSE,FALSE
R00932,2026-01-03,?????,TRUE,A,Home & Living,Payday Promo,124,24,58,970.10,10.4%,"50,414.26","31,545.31","18,868.95",Credit Card,FALSE,4.9,FALSE,FALSE
R01871,2026-01-03,?????,TRUE,A,Electronics,None,165,25,63,"1,741.30",4.4%,"104,875.06","75,253.32","29,621.74",E-Wallet,FALSE,2.9,FALSE,FALSE
R00943,2026-01-03,?????,TRUE,B,Beauty,None,206,36,154,603.82,3.1%,"90,105.29","44,034.84","46,070.45",QR Payment,FALSE,5,FALSE,FALSE
R02064,2026-01-03,?????,TRUE,B,Home & Living,None,135,23,70,"1,073.66",3.5%,"72,525.83","46,034.28","26,491.55",Cash,FALSE,4.9,FALSE,FALSE
R01141,2026-01-03,?????,TRUE,C,Home & Living,None,140,24,85,983.49,3.5%,"80,670.85","56,817.32","23,853.53",Credit Card,FALSE,3.4,FALSE,FALSE
R02335,2026-01-03,?????,TRUE,C,Food & Beverage,None,111,21,151,280.51,1.8%,"41,594.74","26,380.50","15,214.24",E-Wallet,FALSE,3.9,FALSE,FALSE
R01148,2026-01-03,?????,TRUE,D,Fashion,Weekend Boost,142,24,112,664.86,8.7%,"67,985.85","41,277.37","26,708.48",Credit Card,FALSE,4.4,FALSE,FALSE
R02696,2026-01-03,?????,TRUE,D,Fashion,None,138,27,115,525.35,3.0%,"58,602.44","35,515.12","23,087.32",QR Payment,FALSE,4.6,FALSE,FALSE
R02838,2026-01-03,?????,TRUE,D,Sports,None,128,22,83,702.31,2.5%,"56,834.04","31,378.62","25,455.42",Mobile Banking,FALSE,4.4,FALSE,FALSE
R00061,2026-01-03,?????,TRUE,E,Electronics,None,186,29,73,"1,493.99",2.0%,"106,879.94","77,001.13","29,878.81",E-Wallet,FALSE,3.9,FALSE,FALSE
R00248,2026-01-03,?????,TRUE,E,Fashion,None,175,24,154,707.73,3.1%,"105,611.67","62,015.48","43,596.19",Credit Card,FALSE,4.1,FALSE,FALSE
R01470,2026-01-03,?????,TRUE,E,Fashion,None,145,25,118,578.76,2.3%,"66,722.48","40,723.53","25,998.95",Credit Card,TRUE,4.2,FALSE,FALSE
R02349,2026-01-03,?????,TRUE,E,Food & Beverage,None,126,22,142,439.20,5.8%,"58,749.74","37,145.40","21,604.34",Cash,FALSE,3.9,FALSE,FALSE
R02699,2026-01-03,?????,TRUE,E,Fashion,Payday Promo,97,18,83,519.96,10.1%,"38,798.16","23,132.40","15,665.76",Credit Card,FALSE,4.7,FALSE,FALSE
R02742,2026-01-03,?????,TRUE,E,Electronics,None,202,31,103,"1,133.26",1.8%,"114,624.44","80,170.58","34,453.86",Cash,FALSE,4.1,FALSE,FALSE
R02945,2026-01-03,?????,TRUE,E,Electronics,Payday Promo,102,22,47,267.48,10.2%,"11,289.28","8,397.56","2,891.72",Credit Card,FALSE,4.4,FALSE,FALSE
R00108,2026-01-04,???????,TRUE,A,Beauty,Member Day,136,27,101,635.51,8.6%,"58,666.49","27,347.16","31,319.33",Credit Card,FALSE,3.6,FALSE,FALSE
R00245,2026-01-04,???????,TRUE,A,Fashion,None,159,25,130,735.83,3.0%,"92,788.18","53,688.43","39,099.75",E-Wallet,FALSE,3.5,FALSE,FALSE
R00583,2026-01-04,???????,TRUE,A,Fashion,Payday Promo,120,22,107,496.15,9.4%,"48,097.58","28,613.20","19,484.38",Credit Card,FALSE,3.9,FALSE,FALSE
R00963,2026-01-04,???????,TRUE,A,Fashion,Member Day,152,26,121,757.63,8.6%,"83,789.50","49,237.59","34,551.91",QR Payment,FALSE,4.2,FALSE,FALSE
R00972,2026-01-04,???????,TRUE,A,Fashion,None,59,16,40,335.32,1.8%,"13,171.29","7,412.75","5,758.54",Mobile Banking,FALSE,4,FALSE,FALSE
R01939,2026-01-04,???????,TRUE,A,Electronics,None,165,26,66,"1,615.99",1.5%,"105,055.79","77,125.85","27,929.94",Credit Card,TRUE,3.4,FALSE,FALSE
R02315,2026-01-04,???????,TRUE,A,Sports,None,115,24,54,977.15,3.8%,"50,760.83","28,860.19","21,900.64",QR Payment,FALSE,4.8,FALSE,FALSE
R02436,2026-01-04,???????,TRUE,B,Beauty,Weekend Boost,121,23,86,488.39,6.4%,"39,313.45","19,177.04","20,136.41",E-Wallet,FALSE,3.8,FALSE,FALSE
R02533,2026-01-04,???????,TRUE,B,Sports,None,136,20,74,"1,100.19",1.5%,"80,192.96","46,373.86","33,819.10",Credit Card,FALSE,4.4,FALSE,FALSE
R02842,2026-01-04,???????,TRUE,B,Food & Beverage,None,123,27,143,236.68,3.2%,"32,762.86","21,426.85","11,336.01",Credit Card,FALSE,3.9,FALSE,FALSE
R01192,2026-01-04,???????,TRUE,C,Home & Living,Clearance Sale,140,21,62,"1,155.42",16.8%,"59,600.99","36,647.38","22,953.61",QR Payment,FALSE,4.3,FALSE,FALSE
R01020,2026-01-04,???????,TRUE,D,Food & Beverage,Weekend Boost,120,20,128,506.08,6.7%,"60,438.04","35,458.07","24,979.97",Mobile Banking,FALSE,5,FALSE,FALSE
R02278,2026-01-04,???????,TRUE,D,Fashion,Member Day,145,27,122,498.13,8.5%,"55,606.60","33,987.35","21,619.25",Credit Card,FALSE,4.5,FALSE,FALSE
R00305,2026-01-04,???????,TRUE,E,Food & Beverage,Payday Promo,156,24,188,628.50,9.9%,"106,460.57","66,055.82","40,404.75",Credit Card,FALSE,4.4,FALSE,FALSE
R01138,2026-01-04,???????,TRUE,E,Home & Living,Member Day,74,16,44,106.48,11.1%,"4,165.08","2,690.88","1,474.20",Credit Card,FALSE,4.7,FALSE,FALSE
R02799,2026-01-04,???????,TRUE,E,Fashion,None,158,25,137,631.37,0.8%,"85,806.21","48,746.52","37,059.69",Mobile Banking,FALSE,4.2,FALSE,FALSE
R01246,2026-01-05,??????,FALSE,A,Home & Living,None,107,18,65,"1,229.94",4.6%,"76,268.77","49,009.40","27,259.37",Cash,FALSE,4.4,FALSE,FALSE
R01531,2026-01-05,??????,FALSE,A,Food & Beverage,None,161,29,194,425.50,3.0%,"80,069.67","48,647.75","31,421.92",QR Payment,FALSE,3.6,FALSE,FALSE
R01655,2026-01-05,??????,FALSE,A,Food & Beverage,Member Day,139,22,183,473.73,7.8%,"79,930.68","50,120.69","29,809.99",QR Payment,FALSE,4.4,FALSE,FALSE
R00435,2026-01-05,??????,FALSE,B,Fashion,None,152,27,135,581.02,0.5%,"78,045.99","47,347.53","30,698.46",Cash,FALSE,5,FALSE,FALSE
R01273,2026-01-05,??????,FALSE,B,Electronics,None,121,22,41,"1,988.47",3.7%,"78,510.82","56,557.68","21,953.14",Mobile Banking,FALSE,4.5,FALSE,FALSE
R01806,2026-01-05,??????,FALSE,B,Electronics,None,72,17,37,539.15,2.2%,"19,509.65","13,618.44","5,891.21",E-Wallet,FALSE,4.4,FALSE,FALSE
R01838,2026-01-05,??????,FALSE,B,Fashion,Weekend Boost,134,17,108,854.60,4.8%,"87,866.47","52,086.23","35,780.24",Mobile Banking,FALSE,3.8,FALSE,FALSE
R02365,2026-01-05,??????,FALSE,B,Food & Beverage,Member Day,158,23,191,600.22,7.3%,"106,272.95","64,178.54","42,094.41",E-Wallet,FALSE,4.2,FALSE,FALSE
R02794,2026-01-05,??????,FALSE,B,Fashion,None,198,24,172,918.12,2.4%,"154,126.02","90,179.71","63,946.31",Credit Card,FALSE,3.7,FALSE,FALSE
R02836,2026-01-05,??????,FALSE,B,Electronics,Payday Promo,135,21,64,"1,159.27",9.0%,"67,515.96","46,418.75","21,097.21",Mobile Banking,FALSE,4.5,FALSE,FALSE
R00114,2026-01-05,??????,FALSE,C,Fashion,None,155,18,137,899.53,1.6%,"121,264.41","72,134.05","49,130.36",Credit Card,FALSE,4.1,FALSE,FALSE
R00784,2026-01-05,??????,FALSE,C,Electronics,Member Day,160,27,75,"1,321.73",6.2%,"92,983.59","67,657.07","25,326.52",Cash,FALSE,4.5,FALSE,FALSE
R01214,2026-01-05,??????,FALSE,C,Electronics,None,85,13,49,"1,294.05",1.3%,"62,584.13","42,973.64","19,610.49",Mobile Banking,FALSE,4,FALSE,FALSE
R01755,2026-01-05,??????,FALSE,C,Food & Beverage,Payday Promo,149,25,193,415.80,11.0%,"71,422.41","45,327.91","26,094.50",Credit Card,FALSE,4.7,FALSE,FALSE
R02449,2026-01-05,??????,FALSE,D,Food & Beverage,Weekend Boost,151,21,168,785.73,8.5%,"120,781.79","79,392.72","41,389.07",Credit Card,FALSE,5,FALSE,FALSE
R00804,2026-01-06,??????,FALSE,A,Fashion,None,110,17,87,946.23,4.6%,"78,534.79","47,948.52","30,586.27",QR Payment,FALSE,4.4,FALSE,FALSE
R02748,2026-01-06,??????,FALSE,A,Electronics,None,101,20,21,"2,360.31",3.6%,"47,782.15","35,175.71","12,606.44",Mobile Banking,FALSE,3.9,FALSE,FALSE
R00942,2026-01-06,??????,FALSE,B,Food & Beverage,Weekend Boost,92,18,115,353.13,7.6%,"37,523.44","24,292.04","13,231.40",QR Payment,FALSE,4.6,FALSE,FALSE
R01764,2026-01-06,??????,FALSE,B,Beauty,None,194,31,138,837.32,3.6%,"111,390.32","53,398.51","57,991.81",E-Wallet,FALSE,4.4,FALSE,FALSE
R00747,2026-01-06,??????,FALSE,C,Sports,Weekend Boost,96,18,36,"1,713.42",7.8%,"56,871.81","33,992.67","22,879.14",Credit Card,FALSE,4.8,FALSE,FALSE
R00853,2026-01-06,??????,FALSE,C,Electronics,Member Day,55,17,22,366.17,7.2%,"7,475.77","5,706.72","1,769.05",Mobile Banking,FALSE,5,FALSE,FALSE
R01157,2026-01-06,??????,FALSE,C,Home & Living,None,181,31,99,940.73,2.7%,"90,617.72","57,369.43","33,248.29",E-Wallet,FALSE,3.4,FALSE,FALSE
R01338,2026-01-06,??????,FALSE,C,Electronics,Weekend Boost,140,24,55,"1,647.95",5.1%,"86,014.75","61,400.37","24,614.38",QR Payment,FALSE,3.8,FALSE,FALSE
R01822,2026-01-06,??????,FALSE,C,Food & Beverage,None,129,19,135,629.06,4.8%,"80,846.72","47,750.34","33,096.38",Credit Card,FALSE,4.1,FALSE,FALSE
R01383,2026-01-06,??????,FALSE,D,Home & Living,None,125,29,53,921.40,3.0%,"47,368.98","31,494.55","15,874.43",Credit Card,FALSE,4.1,FALSE,FALSE
R01707,2026-01-06,??????,FALSE,D,Electronics,None,101,23,53,842.99,5.0%,"42,444.64","29,946.64","12,498.00",E-Wallet,FALSE,3.8,FALSE,FALSE
R01663,2026-01-06,??????,FALSE,E,Food & Beverage,Member Day,147,24,177,457.50,7.4%,"74,984.37","44,435.39","30,548.98",Credit Card,FALSE,4.3,FALSE,FALSE
R01716,2026-01-06,??????,FALSE,E,Electronics,Payday Promo,136,26,68,872.52,11.3%,"52,626.84","36,246.04","16,380.80",Cash,FALSE,4.4,FALSE,FALSE
R01946,2026-01-06,??????,FALSE,E,Beauty,Payday Promo,60,18,58,56.78,8.9%,"3,000.00","1,515.46","1,484.54",E-Wallet,TRUE,3.9,FALSE,FALSE
R02473,2026-01-06,??????,FALSE,E,Electronics,Clearance Sale,120,19,28,"3,115.05",16.0%,"73,265.96","51,489.85","21,776.11",Mobile Banking,FALSE,4.4,FALSE,FALSE
R00003,2026-01-07,???,FALSE,A,Food & Beverage,Weekend Boost,129,20,153,567.14,8.3%,"79,570.91","48,946.55","30,624.36",Cash,TRUE,3.7,FALSE,FALSE
R00768,2026-01-07,???,FALSE,A,Beauty,Weekend Boost,101,13,73,"1,087.29",4.8%,"75,562.34","37,289.13","38,273.21",Mobile Banking,TRUE,3.6,FALSE,FALSE
R00770,2026-01-07,???,FALSE,A,Fashion,Weekend Boost,127,26,112,562.78,5.4%,"59,627.77","36,081.62","23,546.15",E-Wallet,FALSE,4.1,FALSE,FALSE
R00858,2026-01-07,???,FALSE,A,Food & Beverage,None,159,30,173,429.02,3.3%,"71,771.91","42,948.75","28,823.16",Mobile Banking,FALSE,4.1,FALSE,FALSE
R00999,2026-01-07,???,FALSE,A,Home & Living,Member Day,118,18,48,"1,371.22",9.8%,"59,368.38","39,502.18","19,866.20",E-Wallet,FALSE,4.8,FALSE,FALSE
R01538,2026-01-07,???,FALSE,A,Food & Beverage,Weekend Boost,200,29,236,631.53,9.3%,"135,180.12","79,310.17","55,869.95",E-Wallet,FALSE,3.4,FALSE,FALSE
R01933,2026-01-07,???,FALSE,A,Food & Beverage,Payday Promo,213,30,251,593.38,10.6%,"133,151.90","85,274.32","47,877.58",E-Wallet,FALSE,4.6,FALSE,FALSE
R00541,2026-01-07,???,FALSE,B,Food & Beverage,None,146,22,185,515.26,2.1%,"93,321.75","55,329.92","37,991.83",Credit Card,FALSE,4.6,FALSE,FALSE
R01809,2026-01-07,???,FALSE,B,Home & Living,Clearance Sale,152,22,83,"1,335.00",14.5%,"94,737.94","63,110.28","31,627.66",Mobile Banking,FALSE,5,FALSE,FALSE
R01899,2026-01-07,???,FALSE,B,Sports,None,147,29,84,799.09,1.6%,"66,049.97","36,374.91","29,675.06",Credit Card,FALSE,3.9,FALSE,FALSE
R00163,2026-01-07,???,FALSE,C,Fashion,None,106,19,73,457.31,2.2%,"32,649.00","19,041.98","13,607.02",Credit Card,FALSE,4.4,FALSE,FALSE
R00332,2026-01-07,???,FALSE,C,Food & Beverage,None,175,28,216,541.42,3.1%,"113,320.59","74,746.01","38,574.58",E-Wallet,FALSE,4,FALSE,FALSE
R00434,2026-01-07,???,FALSE,C,Beauty,None,97,18,61,383.69,2.1%,"22,913.56","11,464.32","11,449.24",QR Payment,FALSE,4.2,FALSE,FALSE
R00826,2026-01-07,???,FALSE,C,Food & Beverage,Weekend Boost,132,17,155,677.69,6.6%,"98,109.79","58,329.79","39,780.00",E-Wallet,FALSE,4.9,FALSE,FALSE
R02308,2026-01-07,???,FALSE,C,Food & Beverage,Weekend Boost,84,16,94,412.09,4.1%,"37,148.00","22,481.53","14,666.47",Cash,FALSE,5,FALSE,FALSE
R02636,2026-01-07,???,FALSE,C,Food & Beverage,None,149,26,173,421.80,2.4%,"71,220.61","45,112.58","26,108.03",Cash,FALSE,4.2,FALSE,FALSE
R02085,2026-01-07,???,FALSE,D,Fashion,Weekend Boost,167,24,161,758.33,8.0%,"112,323.21","65,052.79","47,270.42",E-Wallet,FALSE,4.4,FALSE,FALSE
R00652,2026-01-07,???,FALSE,E,Fashion,None,116,22,88,456.94,4.5%,"38,401.03","23,032.15","15,368.88",Credit Card,FALSE,4.9,FALSE,FALSE
R00886,2026-01-07,???,FALSE,E,Fashion,None,111,21,98,414.35,2.5%,"39,591.21","24,384.00","15,207.21",QR Payment,FALSE,4.1,FALSE,FALSE
R01391,2026-01-07,???,FALSE,E,Food & Beverage,Member Day,162,27,173,597.69,5.6%,"97,609.64","56,933.38","40,676.26",Credit Card,FALSE,5,FALSE,FALSE
R01761,2026-01-07,???,FALSE,E,Fashion,None,81,17,79,134.06,4.2%,"10,145.61","5,893.13","4,252.48",Mobile Banking,FALSE,4.3,FALSE,FALSE
R02075,2026-01-07,???,FALSE,E,Food & Beverage,None,137,25,176,353.02,1.1%,"61,447.33","38,801.46","22,645.87",Cash,FALSE,4.3,FALSE,FALSE
R01377,2026-01-08,????????,FALSE,A,Food & Beverage,Weekend Boost,120,17,124,752.27,8.4%,"85,446.24","53,094.29","32,351.95",QR Payment,FALSE,4.2,FALSE,FALSE
R02104,2026-01-08,????????,FALSE,A,Fashion,None,84,19,89,340.99,3.4%,"29,316.53","16,521.69","12,794.84",QR Payment,FALSE,3.7,FALSE,FALSE
R02889,2026-01-08,????????,FALSE,A,Food & Beverage,None,152,16,185,677.77,4.1%,"120,247.04","78,150.91","42,096.13",QR Payment,FALSE,5,FALSE,FALSE
R00361,2026-01-08,????????,FALSE,B,Food & Beverage,None,140,23,171,502.24,3.6%,"82,791.35","50,711.22","32,080.13",Credit Card,FALSE,4,FALSE,FALSE
R00512,2026-01-08,????????,FALSE,B,Sports,Weekend Boost,88,24,81,39.91,7.2%,"3,000.00","1,759.92","1,240.08",Mobile Banking,FALSE,4.2,FALSE,FALSE
R01718,2026-01-08,????????,FALSE,B,Food & Beverage,None,123,23,119,668.32,4.1%,"76,268.88","46,988.18","29,280.70",Mobile Banking,FALSE,3.4,FALSE,FALSE
R02736,2026-01-08,????????,FALSE,B,Food & Beverage,Payday Promo,119,17,164,496.66,9.6%,"73,632.29","44,012.72","29,619.57",Credit Card,FALSE,4.8,FALSE,FALSE
R02933,2026-01-08,????????,FALSE,B,Electronics,None,175,30,71,"1,441.20",3.8%,"98,436.93","72,618.93","25,818.00",QR Payment,FALSE,3.4,FALSE,FALSE
R01055,2026-01-08,????????,FALSE,C,Food & Beverage,None,150,26,155,474.73,2.6%,"71,670.00","44,943.42","26,726.58",Credit Card,FALSE,4.5,FALSE,FALSE
R01199,2026-01-08,????????,FALSE,C,Beauty,None,117,28,82,269.03,0.8%,"21,883.90","11,584.52","10,299.38",Credit Card,FALSE,5,FALSE,FALSE
R01245,2026-01-08,????????,FALSE,C,Fashion,Payday Promo,230,30,219,838.01,9.6%,"165,906.85","97,597.31","68,309.54",Credit Card,FALSE,3.7,FALSE,FALSE
R01013,2026-01-08,????????,FALSE,D,Food & Beverage,Payday Promo,136,22,160,492.69,10.5%,"70,553.39","41,603.40","28,949.99",QR Payment,FALSE,4.6,FALSE,FALSE
R02787,2026-01-08,????????,FALSE,D,Electronics,None,201,28,83,"1,603.98",3.7%,"128,204.73","91,318.77","36,885.96",E-Wallet,FALSE,3.7,FALSE,FALSE
R00046,2026-01-08,????????,FALSE,E,Fashion,Member Day,97,18,85,551.80,9.5%,"42,447.15","24,691.38","17,755.77",Credit Card,FALSE,3.7,FALSE,FALSE
R00433,2026-01-08,????????,FALSE,E,Electronics,Clearance Sale,77,15,31,926.67,21.0%,"22,694.11","15,787.84","6,906.27",E-Wallet,TRUE,3.1,FALSE,FALSE
R01743,2026-01-08,????????,FALSE,E,Sports,Weekend Boost,131,20,74,"1,151.37",5.8%,"80,259.53","47,131.27","33,128.26",Cash,FALSE,4.9,FALSE,FALSE
R02154,2026-01-08,????????,FALSE,E,Home & Living,None,158,29,104,902.62,2.7%,"91,338.02","58,253.74","33,084.28",Cash,FALSE,4.5,FALSE,FALSE
R02268,2026-01-08,????????,FALSE,E,Food & Beverage,None,169,26,227,495.90,3.0%,"109,192.24","65,903.51","43,288.73",Mobile Banking,FALSE,5,FALSE,FALSE
R02359,2026-01-08,????????,FALSE,E,Sports,Member Day,168,20,106,"1,464.70",7.5%,"143,613.96","81,894.68","61,719.28",Mobile Banking,FALSE,4.9,FALSE,FALSE
R00631,2026-01-09,?????,FALSE,A,Sports,None,165,24,98,"1,109.79",3.8%,"104,626.95","57,374.63","47,252.32",Mobile Banking,FALSE,4,FALSE,FALSE
R01944,2026-01-09,?????,FALSE,A,Home & Living,None,110,17,65,"1,118.77",2.8%,"70,683.82","46,688.16","23,995.66",Credit Card,FALSE,4.2,FALSE,FALSE
R02121,2026-01-09,?????,FALSE,B,Fashion,None,168,32,152,534.71,2.5%,"79,244.48","44,342.01","34,902.47",Credit Card,FALSE,4.2,FALSE,FALSE
R02361,2026-01-09,?????,FALSE,B,Fashion,Weekend Boost,175,28,141,750.33,7.8%,"97,544.86","54,757.60","42,787.26",E-Wallet,FALSE,4.1,FALSE,FALSE
R02817,2026-01-09,?????,FALSE,B,Food & Beverage,None,84,22,105,108.47,3.5%,"10,990.89","6,753.89","4,237.00",Cash,FALSE,4.1,FALSE,FALSE
R00732,2026-01-09,?????,FALSE,C,Beauty,None,132,23,92,596.65,4.8%,"52,256.69","26,966.50","25,290.19",E-Wallet,FALSE,3.9,FALSE,FALSE
R01170,2026-01-09,?????,FALSE,C,Food & Beverage,None,147,25,170,416.21,4.8%,"67,359.85","43,654.73","23,705.12",Cash,FALSE,3.7,FALSE,FALSE
R01312,2026-01-09,?????,FALSE,C,Fashion,Payday Promo,165,27,132,862.70,9.5%,"103,058.69","63,236.34","39,822.35",E-Wallet,FALSE,4.1,FALSE,FALSE
R02560,2026-01-09,?????,FALSE,C,Home & Living,None,111,19,64,776.53,2.8%,"48,306.11","31,300.55","17,005.56",E-Wallet,FALSE,4.3,FALSE,FALSE
R02647,2026-01-09,?????,FALSE,C,Fashion,Payday Promo,149,27,132,679.61,9.2%,"81,455.43","47,939.03","33,516.40",Credit Card,FALSE,4.5,FALSE,FALSE
R02839,2026-01-09,?????,FALSE,C,Beauty,None,162,20,113,973.47,3.3%,"106,372.20","59,495.46","46,876.74",QR Payment,FALSE,3.4,FALSE,FALSE
R01605,2026-01-09,?????,FALSE,D,Food & Beverage,None,127,21,146,496.10,4.4%,"69,244.15","42,910.26","26,333.89",E-Wallet,FALSE,4.8,FALSE,FALSE
R02227,2026-01-09,?????,FALSE,D,Electronics,None,147,30,58,"1,210.42",1.8%,"68,940.56","52,127.75","16,812.81",Credit Card,FALSE,4.4,FALSE,FALSE
R02387,2026-01-09,?????,FALSE,D,Food & Beverage,Weekend Boost,131,20,151,656.44,8.6%,"90,597.57","55,604.13","34,993.44",Mobile Banking,FALSE,4.6,FALSE,FALSE
R02711,2026-01-09,?????,FALSE,D,Electronics,Member Day,101,18,32,"1,314.23",7.9%,"38,733.05","27,678.95","11,054.10",Credit Card,TRUE,3.5,FALSE,FALSE
R01078,2026-01-10,?????,TRUE,A,Sports,Weekend Boost,189,27,103,"1,478.83",6.1%,"143,027.58","81,654.72","61,372.86",E-Wallet,FALSE,4.2,FALSE,FALSE
R01194,2026-01-10,?????,TRUE,A,Food & Beverage,None,87,20,113,329.31,4.5%,"35,537.66","22,576.15","12,961.51",E-Wallet,FALSE,4.5,FALSE,FALSE
